"","Country","currency","price","category","name","X1.EUR.in.Currency","X1.USD.in.Currency","EUR.Average.Monthly.Salary","USD.Average.Monthly.Salary","price_eur","months_to_buy_product"
"57","Australia","AUD",2249,"iphone","iPhone 14 Pro 512GB Deep Purple",1.55,1.5,3915.54,4050.82,1450.96774193548,0.37056644599097
"58","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 64GB - Space Gray",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"59","Australia","AUD",2499,"mac","24-inch Silver iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1612.25806451613,0.411758803259864
"60","Australia","AUD",1749,"iphone","iPhone 14 Plus 256GB (PRODUCT)RED",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"61","Australia","AUD",1579,"iphone","iPhone 14 Plus 128GB Starlight",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"62","Australia","AUD",1899,"mac","MacBook Air with M2 chip - Space Gray",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"63","Australia","AUD",4099,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Silver",1.55,1.5,3915.54,4050.82,2644.51612903226,0.675389889780786
"64","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi 256GB - Blue",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"65","Australia","AUD",3829,"ipad","12.9-inch iPad Pro Wi-Fi 2TB - Silver",1.55,1.5,3915.54,4050.82,2470.32258064516,0.63090214393038
"66","Australia","AUD",3399,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 1TB - Space Gray",1.55,1.5,3915.54,4050.82,2192.90322580645,0.560051289427883
"67","Australia","AUD",1929,"ipad","11-inch iPad Pro Wi-Fi 512GB - Space Gray",1.55,1.5,3915.54,4050.82,1244.51612903226,0.317840228686786
"68","Australia","AUD",2419,"iphone","iPhone 14 Pro Max 512GB Space Black",1.55,1.5,3915.54,4050.82,1560.64516129032,0.398577248933818
"69","Australia","AUD",2419,"iphone","iPhone 14 Pro Max 512GB Gold",1.55,1.5,3915.54,4050.82,1560.64516129032,0.398577248933818
