sku,price,category,name,currency,country,store
MGN63,{'fullPrice': 7799.0},mac,MacBook Air with M1 chip - Space Gray,HKD,hk,AOS: Hong Kong Chinese Consumer 
MGND3,{'fullPrice': 7799.0},mac,MacBook Air with M1 chip - Gold,HKD,hk,AOS: Hong Kong Chinese Consumer 
MGN93,{'fullPrice': 7799.0},mac,MacBook Air with M1 chip - Silver,HKD,hk,AOS: Hong Kong Chinese Consumer 
MLY23,{'fullPrice': 11899.0},mac,MacBook Air with M2 chip - Starlight,HKD,hk,AOS: Hong Kong Chinese Consumer 
MLY13,{'fullPrice': 9499.0},mac,MacBook Air with M2 chip - Starlight,HKD,hk,AOS: Hong Kong Chinese Consumer 
MLY03,{'fullPrice': 11899.0},mac,MacBook Air with M2 chip - Silver,HKD,hk,AOS: Hong Kong Chinese Consumer 
MLXY3,{'fullPrice': 9499.0},mac,MacBook Air with M2 chip - Silver,HKD,hk,AOS: Hong Kong Chinese Consumer 
MLXX3,{'fullPrice': 11899.0},mac,MacBook Air with M2 chip - Space Gray,HKD,hk,AOS: Hong Kong Chinese Consumer 
MLXW3,{'fullPrice': 9499.0},mac,MacBook Air with M2 chip - Space Gray,HKD,hk,AOS: Hong Kong Chinese Consumer 
MLY33,{'fullPrice': 9499.0},mac,MacBook Air with M2 chip - Midnight,HKD,hk,AOS: Hong Kong Chinese Consumer 
MLY43,{'fullPrice': 11899.0},mac,MacBook Air with M2 chip - Midnight,HKD,hk,AOS: Hong Kong Chinese Consumer 
MGN63,{'fullPrice': 11599.0},mac,MacBook Air with M1 chip - Space Gray,BRL,br,AOS: Brazil Consumer
MGND3,{'fullPrice': 11599.0},mac,MacBook Air with M1 chip - Gold,BRL,br,AOS: Brazil Consumer
MGN93,{'fullPrice': 11599.0},mac,MacBook Air with M1 chip - Silver,BRL,br,AOS: Brazil Consumer
MLY23,{'fullPrice': 17199.0},mac,MacBook Air with M2 chip - Starlight,BRL,br,AOS: Brazil Consumer
MLY13,{'fullPrice': 13999.0},mac,MacBook Air with M2 chip - Starlight,BRL,br,AOS: Brazil Consumer
MLY03,{'fullPrice': 17199.0},mac,MacBook Air with M2 chip - Silver,BRL,br,AOS: Brazil Consumer
MLXY3,{'fullPrice': 13999.0},mac,MacBook Air with M2 chip - Silver,BRL,br,AOS: Brazil Consumer
MLXX3,{'fullPrice': 17199.0},mac,MacBook Air with M2 chip - Space Gray,BRL,br,AOS: Brazil Consumer
MLXW3,{'fullPrice': 13999.0},mac,MacBook Air with M2 chip - Space Gray,BRL,br,AOS: Brazil Consumer
MLY33,{'fullPrice': 13999.0},mac,MacBook Air with M2 chip - Midnight,BRL,br,AOS: Brazil Consumer
MLY43,{'fullPrice': 17199.0},mac,MacBook Air with M2 chip - Midnight,BRL,br,AOS: Brazil Consumer
MGN63,{'fullPrice': 1219.0},mac,MacBook Air with M1 chip - Space Gray,EUR,es,AOS: Spain Consumer
MGND3,{'fullPrice': 1219.0},mac,MacBook Air with M1 chip - Gold,EUR,es,AOS: Spain Consumer
MGN93,{'fullPrice': 1219.0},mac,MacBook Air with M1 chip - Silver,EUR,es,AOS: Spain Consumer
